parametro,Fecha,CE,CE b,NO,NO b,SO,SO b,NO2,NO2 b,NTE,NTE b,NE2,NE2 b,SE2,SE2 b,SO2,SO2 b,SE3,SE3 b,SUR,SUR b,NTE2,NTE2 b
WSR  ,1/1/2017,3,,7,,6.7,,,l,3.7,,4.2,,5.1,,4,,ND,ND,ND,ND,ND,ND
WSR  ,1/1/2017 1:00,2,,9,,11.1,,,l,4.8,,8.6,,3,,5.4,,ND,ND,ND,ND,ND,ND
WSR  ,1/1/2017 2:00,2.6,,3.9,,7.1,,,l,5.8,,8.8,,1.4,,4.4,,ND,ND,ND,ND,ND,ND
WSR  ,1/1/2017 3:00,5.4,,4.6,,9.8,,,l,6.8,,8.7,,2.1,,3.7,,ND,ND,ND,ND,ND,ND
WSR  ,1/1/2017 4:00,3.6,,2.6,,13.6,,,l,6.6,,7.7,,4.6,,2,,ND,ND,ND,ND,ND,ND
WSR  ,1/1/2017 5:00,2.5,,1.9,,4.9,,,l,3.9,,5.5,,5.1,,0.7,,ND,ND,ND,ND,ND,ND
WSR  ,1/1/2017 6:00,2.4,,,l,4.3,,,l,3.7,,4.4,,4.4,,1,,ND,ND,ND,ND,ND,ND
WSR  ,1/1/2017 7:00,4.1,,,l,3.6,,,l,3.2,,4.6,,4.5,,1.6,,ND,ND,ND,ND,ND,ND
WSR  ,1/1/2017 8:00,2.8,,1.7,,3.9,,,l,3.7,,3.9,,2.9,,0.9,,ND,ND,ND,ND,ND,ND
WSR  ,1/1/2017 9:00,1,,,l,4,,,l,4.6,,5,,2.8,,0.8,,ND,ND,ND,ND,ND,ND
WSR  ,1/1/2017 10:00,1.7,,1.9,,6.5,,,l,4.1,,7.1,,6.2,,0.7,,ND,ND,ND,ND,ND,ND
WSR  ,1/1/2017 11:00,3.2,,0.7,,5.9,,,l,4.8,,6.8,,6.6,,3.9,,ND,ND,ND,ND,ND,ND
WSR  ,1/1/2017 12:00,5,,9.4,,7.4,p,,l,8.8,,9.8,,8.4,,5.2,,ND,ND,ND,ND,ND,ND
WSR  ,1/1/2017 13:00,6.7,,9.2,,9.3,p,,l,9.4,,11.6,,11.8,,6.3,,ND,ND,ND,ND,ND,ND
WSR  ,1/1/2017 14:00,7.3,,10.2,,9.1,p,,l,8.9,,13.4,,10.3,,6.4,,ND,ND,ND,ND,ND,ND
WSR  ,1/1/2017 15:00,7.1,,9.4,,12.2,p,,l,8.6,,12.4,,9.8,,5.8,,ND,ND,ND,ND,ND,ND
WSR  ,1/1/2017 16:00,7.2,,11.6,,9.3,p,,l,10.3,,14.1,,10.6,,5.4,,ND,ND,ND,ND,ND,ND
WSR  ,1/1/2017 17:00,7.5,,11.5,,6.9,p,,l,8.3,,11.3,,8.8,,4.1,,ND,ND,ND,ND,ND,ND
WSR  ,1/1/2017 18:00,7.7,,8.3,,4,p,,l,4.4,,9.7,,6.2,,3.3,,ND,ND,ND,ND,ND,ND
WSR  ,1/1/2017 19:00,8.7,,3.5,,2.8,p,,l,2.7,,6.4,,5,,1.8,,ND,ND,ND,ND,ND,ND
WSR  ,1/1/2017 20:00,4.1,,,l,3.3,p,,l,2.3,,7.3,,4.5,,0.9,,ND,ND,ND,ND,ND,ND
WSR  ,1/1/2017 21:00,2.2,,1.6,,,l,,l,4,,5.8,,3.6,,1.6,,ND,ND,ND,ND,ND,ND
WSR  ,1/1/2017 22:00,3,,0.2,,,l,,l,2.6,,3,,2.1,,2.3,,ND,ND,ND,ND,ND,ND
WSR  ,1/1/2017 23:00,1.7,,,l,,l,,l,3.1,,3.6,,1.5,,1.6,,ND,ND,ND,ND,ND,ND
WSR  ,1/2/2017,2.6,,,l,,l,,l,3.6,,2.3,,2,,1.2,,ND,ND,ND,ND,ND,ND
WSR  ,1/2/2017 1:00,2.5,,,l,,l,,l,3.8,,5,,2.1,,1.5,,ND,ND,ND,ND,ND,ND
WSR  ,1/2/2017 2:00,2.9,,,l,,l,,l,3.8,,5.8,,3.2,,1.9,,ND,ND,ND,ND,ND,ND
WSR  ,1/2/2017 3:00,3.6,,0.3,,,l,,l,3.3,,5.5,,1.4,,3.5,,ND,ND,ND,ND,ND,ND
WSR  ,1/2/2017 4:00,2.6,,2.6,,,l,,l,4.6,,4.2,,1.4,,4.5,,ND,ND,ND,ND,ND,ND
WSR  ,1/2/2017 5:00,3.1,,4.9,,,l,,l,7.1,,5.1,,1.5,,4.4,,ND,ND,ND,ND,ND,ND
WSR  ,1/2/2017 6:00,3.7,,3.3,,,l,,l,5,,6.7,,2.2,,5.2,,ND,ND,ND,ND,ND,ND
WSR  ,1/2/2017 7:00,2.9,,1.2,,,l,,l,6.2,,7.1,,2.8,,2.4,,ND,ND,ND,ND,ND,ND
WSR  ,1/2/2017 8:00,2.7,,2,,,l,,l,6.8,,4.9,,1.8,,2,,ND,ND,ND,ND,ND,ND
WSR  ,1/2/2017 9:00,2.9,,3.8,,,l,,l,6.9,,4.7,,7.4,,0.8,,ND,ND,ND,ND,ND,ND
WSR  ,1/2/2017 10:00,3.1,,3.2,,2.3,p,,l,9.8,,8,,7.9,,2.5,,ND,ND,ND,ND,ND,ND
WSR  ,1/2/2017 11:00,6.3,,9.9,,10.3,,,l,15.9,,7,,4.9,,1.4,,ND,ND,ND,ND,ND,ND
WSR  ,1/2/2017 12:00,5.1,,12.2,,14.1,p,,l,13.3,,7.5,,9,,4.4,,ND,ND,ND,ND,ND,ND
WSR  ,1/2/2017 13:00,6.8,,8.1,,11.1,p,13.6,p,7.1,,6.1,,6.6,,5.1,,ND,ND,ND,ND,ND,ND
WSR  ,1/2/2017 14:00,5.7,,3.4,,12.4,,15.7,,6.3,,9.5,p,7.8,,5.3,,ND,ND,ND,ND,ND,ND
WSR  ,1/2/2017 15:00,6.5,,10.1,,10.6,,,l,9.1,,11,,3.5,,4.7,,ND,ND,ND,ND,ND,ND
WSR  ,1/2/2017 16:00,7.9,,11.8,,10.4,p,8.8,p,9.4,,11,,13.1,,3.7,,ND,ND,ND,ND,ND,ND
WSR  ,1/2/2017 17:00,6,,9.5,,4.2,,9.5,,7,,15.7,,9.7,,2.7,,ND,ND,ND,ND,ND,ND
WSR  ,1/2/2017 18:00,11.9,,11.7,,6.5,p,4.7,,12,,12.6,,3.8,,2.3,,ND,ND,ND,ND,ND,ND
WSR  ,1/2/2017 19:00,9.6,,11.5,,7.4,p,5,,9.5,,10.1,,1.6,,2.4,,ND,ND,ND,ND,ND,ND
WSR  ,1/2/2017 20:00,6.6,,10.4,,6.2,,5.6,,3.6,,3.6,,1.5,,1.6,,ND,ND,ND,ND,ND,ND
WSR  ,1/2/2017 21:00,1.9,,7.6,,3.6,p,5.2,,3.5,,4.9,,1.5,,0.6,,ND,ND,ND,ND,ND,ND
WSR  ,1/2/2017 22:00,4,,1.7,,2.3,,5.5,,3.3,,2,,1.4,,0.8,,ND,ND,ND,ND,ND,ND
WSR  ,1/2/2017 23:00,2.4,,,l,4.2,,4.4,,3.6,,1.5,,1.4,,0.7,,ND,ND,ND,ND,ND,ND
WSR  ,1/3/2017,2.9,,1.1,,3,,4.6,,4,,1.7,,1.4,,0.6,,ND,ND,ND,ND,ND,ND
WSR  ,1/3/2017 1:00,3.2,,,l,4.1,,4.1,,3.3,,2.6,,1.5,,1.4,,ND,ND,ND,ND,ND,ND
WSR  ,1/3/2017 2:00,1.3,,,l,2.6,,2.5,p,2.6,,4.9,,1.4,,0.8,,ND,ND,ND,ND,ND,ND
WSR  ,1/3/2017 3:00,2.7,,1.2,,3.4,,3.7,,3.2,,2.7,,1.4,,0.6,,ND,ND,ND,ND,ND,ND
WSR  ,1/3/2017 4:00,4.1,,1.4,,3.4,,4.1,,3.2,,4.6,,1.4,,0.9,,ND,ND,ND,ND,ND,ND
WSR  ,1/3/2017 5:00,5,,2,,3.3,,4.4,,2.3,,3.2,,,s,1.2,,ND,ND,ND,ND,ND,ND
WSR  ,1/3/2017 6:00,5,,4,,4,,3.7,,2.6,,2.7,,,s,1.5,,ND,ND,ND,ND,ND,ND
WSR  ,1/3/2017 7:00,3.5,,1.8,,2.1,,3.7,,2.7,,5.1,,,s,0.9,,ND,ND,ND,ND,ND,ND
WSR  ,1/3/2017 8:00,1,,,l,3.3,,3.2,,3.1,,6.4,,1.8,,0.6,,ND,ND,ND,ND,ND,ND
WSR  ,1/3/2017 9:00,2.6,,2.4,,2.5,,2.9,,3.2,,7.8,,6,,0.6,,ND,ND,ND,ND,ND,ND
WSR  ,1/3/2017 10:00,3,,1.5,,2.1,,3.8,,7.6,,7.1,,7.3,,0.6,,ND,ND,ND,ND,ND,ND
WSR  ,1/3/2017 11:00,2.8,,0.6,,3.2,,6.7,,4.5,,5.4,,4.1,,,s,ND,ND,ND,ND,ND,ND
WSR  ,1/3/2017 12:00,2.9,,1.2,,6,,6.8,,4.4,,3.5,,1.9,,3.8,,ND,ND,ND,ND,ND,ND
WSR  ,1/3/2017 13:00,3.2,,1,,8.3,,7.4,,5.4,,9.4,,4.8,,4.7,,ND,ND,ND,ND,ND,ND
WSR  ,1/3/2017 14:00,5.7,,4.6,,10.6,p,9.5,,6.6,,10.9,,8.1,,5.3,,ND,ND,ND,ND,ND,ND
WSR  ,1/3/2017 15:00,5.7,,8.5,,10.2,,12.4,,8.7,,12.3,,9.6,,5.6,,ND,ND,ND,ND,ND,ND
WSR  ,1/3/2017 16:00,7.9,,9.9,,8.8,,13.4,,9.6,,12.3,,9,,6.2,,ND,ND,ND,ND,ND,ND
WSR  ,1/3/2017 17:00,8.2,,9.2,,10.7,,11.8,,5.1,,9.9,,3,,5.2,,ND,ND,ND,ND,ND,ND
WSR  ,1/3/2017 18:00,5.7,,7,,7.8,,9.3,,4.9,,6.9,,1.4,,4,,ND,ND,ND,ND,ND,ND
WSR  ,1/3/2017 19:00,2.8,,3.4,,6.9,,6.1,,4.1,,3.2,,1.5,,4,,ND,ND,ND,ND,ND,ND
WSR  ,1/3/2017 20:00,1.1,,,l,5.4,,6.4,,3.7,,2.8,,1.4,p,4.2,,ND,ND,ND,ND,ND,ND
WSR  ,1/3/2017 21:00,1.9,,,l,3.6,,5.6,,4.4,,4.1,,1.4,,3.1,,ND,ND,ND,ND,ND,ND
WSR  ,1/3/2017 22:00,1.8,,,l,2.4,,5.5,,4.7,,5.4,p,1.4,,1.3,,ND,ND,ND,ND,ND,ND
WSR  ,1/3/2017 23:00,1.5,,2.7,,5.4,,6.6,,4.9,,4.5,,,s,2.3,,ND,ND,ND,ND,ND,ND
WSR  ,1/4/2017,2.4,,0.4,,3.1,,5,,2.9,,2,,,s,1.1,,ND,ND,ND,ND,ND,ND
WSR  ,1/4/2017 1:00,1.4,,,l,2.6,,4.1,,3.3,,1.4,,,s,0.7,,ND,ND,ND,ND,ND,ND
WSR  ,1/4/2017 2:00,1.7,,,l,2,,3.7,,2.7,,1.6,,,s,0.6,,ND,ND,ND,ND,ND,ND
WSR  ,1/4/2017 3:00,3.3,,,l,2.6,,,l,3,,1.4,,,s,0.6,,ND,ND,ND,ND,ND,ND
WSR  ,1/4/2017 4:00,4.1,,,l,1.6,,4.9,p,2.8,,1.4,,,s,0.8,,ND,ND,ND,ND,ND,ND
WSR  ,1/4/2017 5:00,4.9,,,l,1.6,,4.4,,2.8,,4,,,s,1.4,,ND,ND,ND,ND,ND,ND
WSR  ,1/4/2017 6:00,1.1,,,l,1.7,,2.6,,3.5,,5.6,,,s,0.6,,ND,ND,ND,ND,ND,ND
WSR  ,1/4/2017 7:00,0.9,,0.4,,2.1,,3.1,,2.4,,5,,,s,0.8,,ND,ND,ND,ND,ND,ND
WSR  ,1/4/2017 8:00,1.7,,,l,4.2,,2.5,,5.8,,6.9,,,s,1,,ND,ND,ND,ND,ND,ND
WSR  ,1/4/2017 9:00,3.5,,0.2,,4.6,,5,,4.4,,7.6,,3.9,,0.7,,ND,ND,ND,ND,ND,ND
WSR  ,1/4/2017 10:00,6,,,l,5.1,,6.7,,4.2,,7.9,,4.5,,4.4,,ND,ND,ND,ND,ND,ND
WSR  ,1/4/2017 11:00,7.2,,3.3,,12,,11,,5.7,,3.9,,2.3,,6.3,,ND,ND,ND,ND,ND,ND
WSR  ,1/4/2017 12:00,4.3,,5.5,,7.2,,11.8,,5.4,,5.8,,7,,5.8,,ND,ND,ND,ND,ND,ND
WSR  ,1/4/2017 13:00,5.4,,6.8,,8.6,,12.7,,5.7,,7.4,,7.2,,4.8,,ND,ND,ND,ND,ND,ND
WSR  ,1/4/2017 14:00,6,,9,,8.8,,13.3,,8.5,,8.6,,7.8,,5.6,,ND,ND,ND,ND,ND,ND
WSR  ,1/4/2017 15:00,6,,10.4,,8.7,,12.5,,8.2,,9.8,,6.3,,5.3,,ND,ND,ND,ND,ND,ND
WSR  ,1/4/2017 16:00,4.5,,10.1,,6.6,,11.8,,8.9,,11.7,,11.2,,4.6,,ND,ND,ND,ND,ND,ND
WSR  ,1/4/2017 17:00,6.3,,6.9,,6.6,,12,,9.1,,10,,8.5,,4.2,,ND,ND,ND,ND,ND,ND
WSR  ,1/4/2017 18:00,5.8,,9.6,,7.4,,9.3,,8.8,,11.6,,8.2,,4.5,,ND,ND,ND,ND,ND,ND
WSR  ,1/4/2017 19:00,6.8,,5.3,,7,,9.4,,9.4,,8.6,,7.4,,5.1,,ND,ND,ND,ND,ND,ND
WSR  ,1/4/2017 20:00,4.2,,8.4,,6.5,,9.5,,6.4,,6.7,,3.1,,4.7,,ND,ND,ND,ND,ND,ND
WSR  ,1/4/2017 21:00,3.6,,7.3,,5.6,,8.8,,6.7,,5,,,l,3.8,,ND,ND,ND,ND,ND,ND
WSR  ,1/4/2017 22:00,4,,6,,4.7,,8.2,,6.8,,5.6,,2.4,,3.2,,ND,ND,ND,ND,ND,ND
WSR  ,1/4/2017 23:00,3.5,,5.7,,5.7,,8.1,,6.1,,5,,1.4,,3.7,,ND,ND,ND,ND,ND,ND
WSR  ,1/5/2017,2.8,,3.9,,2.8,,5.5,,4.1,,4.9,,1.4,,2.6,,ND,ND,ND,ND,ND,ND
WSR  ,1/5/2017 1:00,1,,1.5,,2.2,,2.8,,4,,3.7,,1.4,,0.8,,ND,ND,ND,ND,ND,ND
WSR  ,1/5/2017 2:00,1,,0.3,,1.2,,1.4,p,3.2,,1.8,,,s,0.8,,ND,ND,ND,ND,ND,ND
WSR  ,1/5/2017 3:00,1,,,l,4,,,l,2.4,,3.4,,,s,0.9,,ND,ND,ND,ND,ND,ND
WSR  ,1/5/2017 4:00,0.9,,,l,4.1,,,l,1.9,,3.4,,,s,1.2,,ND,ND,ND,ND,ND,ND
WSR  ,1/5/2017 5:00,1,,0.3,,3.3,,2.8,p,2.3,,3.9,,,s,1.1,,ND,ND,ND,ND,ND,ND
WSR  ,1/5/2017 6:00,2,,4.2,,1.8,,3.9,p,3.5,,4.9,,,s,1.4,,ND,ND,ND,ND,ND,ND
WSR  ,1/5/2017 7:00,1.9,,1.4,,2.4,,3.4,p,3,,3.3,,,s,1.7,,ND,ND,ND,ND,ND,ND
WSR  ,1/5/2017 8:00,1.9,,,l,1.5,,3.9,,2.4,,5.3,,,s,1.1,,ND,ND,ND,ND,ND,ND
WSR  ,1/5/2017 9:00,2.4,,,l,3.3,,2.3,,2.5,,4,,1.5,,1,,ND,ND,ND,ND,ND,ND
WSR  ,1/5/2017 10:00,2.9,,,l,4.3,,3,,3.8,,4.5,,2.3,,2.6,p,ND,ND,ND,ND,ND,ND
WSR  ,1/5/2017 11:00,3.3,,,l,5.2,,3.4,,4,,4.9,,4.8,,,l,ND,ND,ND,ND,ND,ND
WSR  ,1/5/2017 12:00,4.8,,2.2,,6.7,,4.5,,5.5,,5,,4,,,l,ND,ND,ND,ND,ND,ND
WSR  ,1/5/2017 13:00,5.7,,3.3,,6.1,,10.1,,6.5,,5.1,,5,,,l,ND,ND,ND,ND,ND,ND
WSR  ,1/5/2017 14:00,5.7,,6.9,,7.4,,11.1,,7.5,,8.8,,7.1,,,l,ND,ND,ND,ND,ND,ND
WSR  ,1/5/2017 15:00,6.2,,8.1,,8.4,,13.2,,6.3,,11.3,,7.7,,,l,ND,ND,ND,ND,ND,ND
WSR  ,1/5/2017 16:00,7.2,,8.7,,8.5,,12.2,,5.2,,10.5,,9.4,,,l,ND,ND,ND,ND,ND,ND
WSR  ,1/5/2017 17:00,6.1,,8,,6.7,,9,,5.1,,8,,6.5,,,l,ND,ND,ND,ND,ND,ND
WSR  ,1/5/2017 18:00,5.9,p,9.4,,6.6,,7.3,,5.5,,6.1,,3.3,,,l,ND,ND,ND,ND,ND,ND
WSR  ,1/5/2017 19:00,3.8,,8.8,,6.9,,9.2,,5.2,,6,,1.4,,,l,ND,ND,ND,ND,ND,ND
WSR  ,1/5/2017 20:00,3,,2.6,,5.7,,5,,3.5,,4.6,,1.4,,,l,ND,ND,ND,ND,ND,ND
WSR  ,1/5/2017 21:00,2,,0.2,,3.5,,3.7,,3.4,,2.7,,1.4,,1.3,p,ND,ND,ND,ND,ND,ND
WSR  ,1/5/2017 22:00,2.3,,,l,2.1,,4,,3.1,,2.5,,,s,1.9,p,ND,ND,ND,ND,ND,ND
WSR  ,1/5/2017 23:00,2,,,l,2.2,,3.4,,2.1,,2.2,,,s,1.3,,ND,ND,ND,ND,ND,ND
WSR  ,1/6/2017,1.5,,,l,2.6,,2.9,,2.5,,4.8,,,s,1.4,,ND,ND,ND,ND,ND,ND
WSR  ,1/6/2017 1:00,1.1,,,l,2.9,,3.2,,2.5,,6.3,,,s,0.7,,ND,ND,ND,ND,ND,ND
WSR  ,1/6/2017 2:00,2.4,,0.8,,4.2,,2.2,,3.8,,5.7,,,s,3.1,,ND,ND,ND,ND,ND,ND
WSR  ,1/6/2017 3:00,1,,0.4,,5.4,,6.4,,3.1,,8.8,,1.6,,4.2,,ND,ND,ND,ND,ND,ND
WSR  ,1/6/2017 4:00,4.8,,,l,3.7,,6.7,p,3.3,,9.5,,2,,4,,ND,ND,ND,ND,ND,ND
WSR  ,1/6/2017 5:00,5.2,,,l,7,,6.7,,3.2,,10.2,,2.3,,4.6,,ND,ND,ND,ND,ND,ND
WSR  ,1/6/2017 6:00,7.7,,4,,8.3,,10.1,p,6.2,,13.6,,4.4,,3.4,,ND,ND,ND,ND,ND,ND
WSR  ,1/6/2017 7:00,9.4,,5.9,,11.7,,11.7,p,4.4,,17.8,,8.8,,7.3,,ND,ND,ND,ND,ND,ND
WSR  ,1/6/2017 8:00,9.6,,3,,9.1,,12,,5.8,,17.4,,10,,8.2,,ND,ND,ND,ND,ND,ND
WSR  ,1/6/2017 9:00,7.2,p,6.9,,9.2,,11.2,,7.6,,13.8,,8.6,,7.4,,ND,ND,ND,ND,ND,ND
WSR  ,1/6/2017 10:00,8.7,,6.6,,11.4,,12.3,,8.9,,15.1,,6.8,,6.9,,ND,ND,ND,ND,ND,ND
WSR  ,1/6/2017 11:00,7.5,,4.3,,10.9,,13.9,,8.9,,13.3,,6.5,,6.6,,ND,ND,ND,ND,ND,ND
WSR  ,1/6/2017 12:00,7.2,,4.1,,9.9,,12.4,,4.7,,14.6,,4.7,,5.8,,ND,ND,ND,ND,ND,ND
WSR  ,1/6/2017 13:00,9.2,,2.6,,10.3,,12.5,,6.9,,16.6,,10.7,,6.2,,ND,ND,ND,ND,ND,ND
WSR  ,1/6/2017 14:00,7.8,,2.4,,9.8,,10.9,,6.5,,15.4,,10.7,,6.2,,ND,ND,ND,ND,ND,ND
WSR  ,1/6/2017 15:00,7.8,,3.8,,10.3,,12.6,,8,,12.8,,11.2,,6.3,,ND,ND,ND,ND,ND,ND
WSR  ,1/6/2017 16:00,9.5,,5,,11,,13.7,,7.3,,16.4,,13.5,,7,,ND,ND,ND,ND,ND,ND
WSR  ,1/6/2017 17:00,9.8,,11.6,,12,,14.1,,6.2,,18.5,,16,,7.1,,ND,ND,ND,ND,ND,ND
WSR  ,1/6/2017 18:00,9.4,,22.6,,12,,12.5,,6.2,,18.8,,17,,8.8,,ND,ND,ND,ND,ND,ND
WSR  ,1/6/2017 19:00,8.6,,22.3,,15.3,,11.7,,10.6,,18.7,,18.3,,8.2,,ND,ND,ND,ND,ND,ND
WSR  ,1/6/2017 20:00,9.8,,10,,14.9,,10.3,,7.8,,22.3,,17.9,,8,,ND,ND,ND,ND,ND,ND
WSR  ,1/6/2017 21:00,9.9,,8.1,,12.2,,12.9,,7.5,,17.5,,17.2,,8.1,,ND,ND,ND,ND,ND,ND
WSR  ,1/6/2017 22:00,8.4,,6.8,,11.1,,11.9,,6.4,,15.9,,14.9,,7.8,,ND,ND,ND,ND,ND,ND
WSR  ,1/6/2017 23:00,5.8,,8.4,,8,,9.3,,4.7,,15.5,,13.2,,6.6,,ND,ND,ND,ND,ND,ND
WSR  ,1/7/2017,6.2,,9.3,,5,,6.3,,6.5,,16.1,,15.1,,3.5,,ND,ND,ND,ND,ND,ND
WSR  ,1/7/2017 1:00,8.1,,3.4,,9.4,,5.6,,5.1,,17.1,,15.5,,5.1,,ND,ND,ND,ND,ND,ND
WSR  ,1/7/2017 2:00,8.9,,3.1,,9.2,,7.9,,9.1,,18.2,,12.3,,5.6,,ND,ND,ND,ND,ND,ND
WSR  ,1/7/2017 3:00,8.1,,7.1,,10.2,,9.8,,7.9,,15.4,,14,p,6.7,,ND,ND,ND,ND,ND,ND
WSR  ,1/7/2017 4:00,5.8,,2.1,,6,,7.6,,5.1,,12.6,,13.2,,4.2,,ND,ND,ND,ND,ND,ND
WSR  ,1/7/2017 5:00,6.4,,2,,5.9,,3.2,,5.6,,13.4,,11.5,,3.7,,ND,ND,ND,ND,ND,ND
WSR  ,1/7/2017 6:00,8,,4.4,,8.7,,4.9,,4.8,,16.7,,10.8,,4.8,,ND,ND,ND,ND,ND,ND
WSR  ,1/7/2017 7:00,8.4,,0.3,,11.3,,8.8,,5.3,,17.8,,13.3,,6.2,,ND,ND,ND,ND,ND,ND
WSR  ,1/7/2017 8:00,8.5,,4.3,,9.3,,9.9,,6,,18.1,,13.2,,6.4,,ND,ND,ND,ND,ND,ND
WSR  ,1/7/2017 9:00,5.3,,7.5,,7.2,,9.4,,5.2,,13.8,,11.7,,5.2,,ND,ND,ND,ND,ND,ND
WSR  ,1/7/2017 10:00,3.7,,4.3,,3.1,,5.6,,3.9,,10.3,,11.3,,2.6,,ND,ND,ND,ND,ND,ND
WSR  ,1/7/2017 11:00,3.9,,,l,5.4,,3.6,,4.7,,10,,10.5,,3.5,,ND,ND,ND,ND,ND,ND
WSR  ,1/7/2017 12:00,5,,1,,6.8,,6.1,,6.4,,8.2,,8.1,,4.4,,ND,ND,ND,ND,ND,ND
WSR  ,1/7/2017 13:00,4.6,,1.9,,7.6,,9.2,,5.7,,5.5,,5.9,,5,,ND,ND,ND,ND,ND,ND
WSR  ,1/7/2017 14:00,5.5,,2.3,,10.9,,11.4,,6.3,,6.6,,5.2,,6.4,,ND,ND,ND,ND,ND,ND
WSR  ,1/7/2017 15:00,7.7,,3.4,,14.2,,13.3,,7.1,,7.5,,3.9,,7.1,,ND,ND,ND,ND,ND,ND
WSR  ,1/7/2017 16:00,6.8,,6.2,,15.1,,13.4,,8.8,,7.6,,7.3,,6.3,,ND,ND,ND,ND,ND,ND
WSR  ,1/7/2017 17:00,6.7,,7.4,,13.5,,12.6,,8.1,,8.2,,11.4,,6,,ND,ND,ND,ND,ND,ND
WSR  ,1/7/2017 18:00,6.1,,9.9,,11.5,,9.7,,7.9,,14.5,,8.6,,6,,ND,ND,ND,ND,ND,ND
WSR  ,1/7/2017 19:00,7.9,,12,,10,,10.1,,9.9,,14,,8.7,,5.9,,ND,ND,ND,ND,ND,ND
WSR  ,1/7/2017 20:00,10,,15,,9.7,,10,,12.7,,11.4,,7.5,,6,,ND,ND,ND,ND,ND,ND
WSR  ,1/7/2017 21:00,9.7,,12,,7.7,,5.5,,10.3,,9.2,,4.9,,5.8,,ND,ND,ND,ND,ND,ND
WSR  ,1/7/2017 22:00,9.3,,11,,9,,6.8,,9.8,,10.2,,4.9,,6.2,,ND,ND,ND,ND,ND,ND
WSR  ,1/7/2017 23:00,8.3,,13.4,,11.8,,8,,7.8,,8.7,,4.9,,6.3,,ND,ND,ND,ND,ND,ND
WSR  ,1/8/2017,6.4,,10.9,,9.8,,8,,6.6,,9.2,,4.7,,5.6,,ND,ND,ND,ND,ND,ND
WSR  ,1/8/2017 1:00,5.5,,9.1,,7.1,,4.3,,4.4,,8,,8,,4.6,,ND,ND,ND,ND,ND,ND
WSR  ,1/8/2017 2:00,3.9,,7.2,,3.3,,5,,5.3,,9.6,,5.9,,1.6,,ND,ND,ND,ND,ND,ND
WSR  ,1/8/2017 3:00,3.1,,2.2,,1.8,p,4.5,,4.4,,5.9,,2.3,,0.7,,ND,ND,ND,ND,ND,ND
WSR  ,1/8/2017 4:00,2.1,,,l,4.5,p,4,,3.6,,4.1,,3.4,,0.6,,ND,ND,ND,ND,ND,ND
WSR  ,1/8/2017 5:00,1.1,,,l,1.1,p,3.9,,2.6,,3.2,,2.9,,0.6,,ND,ND,ND,ND,ND,ND
WSR  ,1/8/2017 6:00,1.9,,,l,1.1,p,2.2,,3.6,,2.6,,2.3,,0.6,,ND,ND,ND,ND,ND,ND
WSR  ,1/8/2017 7:00,1.1,,,l,1.7,p,2.8,,2.4,,3.1,,3.9,,,s,ND,ND,ND,ND,ND,ND
WSR  ,1/8/2017 8:00,1.7,,,l,2.4,,2.7,,2.3,,5.4,,5.2,,0.8,,ND,ND,ND,ND,ND,ND
WSR  ,1/8/2017 9:00,3.7,,,l,2.8,p,3.2,,3.5,,3.7,,4.7,,0.6,,ND,ND,ND,ND,ND,ND
WSR  ,1/8/2017 10:00,4.1,,,l,3.7,p,5.7,,5.8,,4.6,p,5.5,,0.8,,ND,ND,ND,ND,ND,ND
WSR  ,1/8/2017 11:00,6.1,,4.5,,5.6,p,6.4,,7.5,,4.5,,5.1,,1.6,,ND,ND,ND,ND,ND,ND
WSR  ,1/8/2017 12:00,6.9,,5.6,,6.8,p,6.7,,9.6,,6.5,,7.2,,4.4,,ND,ND,ND,ND,ND,ND
WSR  ,1/8/2017 13:00,6.5,,8.9,,,l,9.4,,9.4,,8.9,,10.3,,5.6,,ND,ND,ND,ND,ND,ND
WSR  ,1/8/2017 14:00,7.3,,7.9,,10.8,p,11.4,,9.6,,11,,11.5,,5.9,,ND,ND,ND,ND,ND,ND
WSR  ,1/8/2017 15:00,7.7,,9.7,,10.9,,12.9,,9.3,,12.8,,11.5,,5.9,,ND,ND,ND,ND,ND,ND
WSR  ,1/8/2017 16:00,6.7,,9,,10.3,,12.6,,8,,12.2,,12.1,,5.9,,ND,ND,ND,ND,ND,ND
WSR  ,1/8/2017 17:00,6,,7.6,,7.7,,11.1,,7.6,,11.1,,8.5,,5.2,,ND,ND,ND,ND,ND,ND
WSR  ,1/8/2017 18:00,3,,6.3,,6.1,,7.6,,5.1,,8.2,,5.1,,4,,ND,ND,ND,ND,ND,ND
WSR  ,1/8/2017 19:00,2,,2.7,,3.6,,5.5,,4.6,,6,,3.8,,2.9,,ND,ND,ND,ND,ND,ND
WSR  ,1/8/2017 20:00,1.6,,0.4,,2.8,,3.2,,3.7,,5.3,,4.4,,2.7,,ND,ND,ND,ND,ND,ND
WSR  ,1/8/2017 21:00,2.5,,,l,1.9,,3.6,,3.4,,6.3,,3.2,,0.6,,ND,ND,ND,ND,ND,ND
WSR  ,1/8/2017 22:00,0.9,,,l,1,,4,,2.9,,5.1,,2.9,,0.7,,ND,ND,ND,ND,ND,ND
WSR  ,1/8/2017 23:00,2.4,,,l,1.4,,4.4,,2.2,,1.6,,4.1,,0.7,,ND,ND,ND,ND,ND,ND
